model,scenario,region,variable,unit,time,value
PaCES,BAU,AB,New Generation Capacity|Electricity|Wind|Onshore,MW,2025,0.0
PaCES,BAU,AB,New Generation Capacity|Electricity|Wind|Onshore,MW,2030,0.0
PaCES,BAU,AB,New Generation Capacity|Electricity|Wind|Onshore,MW,2035,0.0
PaCES,BAU,AB,New Generation Capacity|Electricity|Wind|Onshore,MW,2040,0.0
PaCES,BAU,AB,New Generation Capacity|Electricity|Wind|Onshore,MW,2045,0.0
PaCES,BAU,AB,New Generation Capacity|Electricity|Wind|Onshore,MW,2050,30000.0
PaCES,BAU,BC,New Generation Capacity|Electricity|Wind|Onshore,MW,2025,0.0
PaCES,BAU,BC,New Generation Capacity|Electricity|Wind|Onshore,MW,2030,0.0
PaCES,BAU,BC,New Generation Capacity|Electricity|Wind|Onshore,MW,2035,0.0
PaCES,BAU,BC,New Generation Capacity|Electricity|Wind|Onshore,MW,2040,0.0
PaCES,BAU,BC,New Generation Capacity|Electricity|Wind|Onshore,MW,2045,0.0
PaCES,BAU,BC,New Generation Capacity|Electricity|Wind|Onshore,MW,2050,3000.0
PaCES,BAU,MB,New Generation Capacity|Electricity|Wind|Onshore,MW,2025,0.0
PaCES,BAU,MB,New Generation Capacity|Electricity|Wind|Onshore,MW,2030,0.0
PaCES,BAU,MB,New Generation Capacity|Electricity|Wind|Onshore,MW,2035,3000.0
PaCES,BAU,MB,New Generation Capacity|Electricity|Wind|Onshore,MW,2040,9000.0
PaCES,BAU,MB,New Generation Capacity|Electricity|Wind|Onshore,MW,2045,0.0
PaCES,BAU,MB,New Generation Capacity|Electricity|Wind|Onshore,MW,2050,3000.0
PaCES,BAU,NB,New Generation Capacity|Electricity|Wind|Onshore,MW,2025,0.0
PaCES,BAU,NB,New Generation Capacity|Electricity|Wind|Onshore,MW,2030,0.0
PaCES,BAU,NB,New Generation Capacity|Electricity|Wind|Onshore,MW,2035,0.0
PaCES,BAU,NB,New Generation Capacity|Electricity|Wind|Onshore,MW,2040,0.0
PaCES,BAU,NB,New Generation Capacity|Electricity|Wind|Onshore,MW,2045,0.0
PaCES,BAU,NB,New Generation Capacity|Electricity|Wind|Onshore,MW,2050,6000.0
PaCES,BAU,NL,New Generation Capacity|Electricity|Wind|Onshore,MW,2025,12000.0
PaCES,BAU,NL,New Generation Capacity|Electricity|Wind|Onshore,MW,2030,0.0
PaCES,BAU,NL,New Generation Capacity|Electricity|Wind|Onshore,MW,2035,0.0
PaCES,BAU,NL,New Generation Capacity|Electricity|Wind|Onshore,MW,2040,0.0
PaCES,BAU,NL,New Generation Capacity|Electricity|Wind|Onshore,MW,2045,0.0
PaCES,BAU,NL,New Generation Capacity|Electricity|Wind|Onshore,MW,2050,6000.0
PaCES,BAU,NS,New Generation Capacity|Electricity|Wind|Onshore,MW,2025,0.0
PaCES,BAU,NS,New Generation Capacity|Electricity|Wind|Onshore,MW,2030,0.0
PaCES,BAU,NS,New Generation Capacity|Electricity|Wind|Onshore,MW,2035,0.0
PaCES,BAU,NS,New Generation Capacity|Electricity|Wind|Onshore,MW,2040,0.0
PaCES,BAU,NS,New Generation Capacity|Electricity|Wind|Onshore,MW,2045,0.0
PaCES,BAU,NS,New Generation Capacity|Electricity|Wind|Onshore,MW,2050,9000.0
PaCES,BAU,ON,New Generation Capacity|Electricity|Wind|Onshore,MW,2025,9000.0
PaCES,BAU,ON,New Generation Capacity|Electricity|Wind|Onshore,MW,2030,0.0
PaCES,BAU,ON,New Generation Capacity|Electricity|Wind|Onshore,MW,2035,7067.836854262059
